,endTime,artistName,trackName,msPlayed
4784,2020-05-03 17:13,Fleetwood Mac,As Long as You Follow,24230
4785,2020-05-03 17:17,Fleetwood Mac,Hold Me,225333
4786,2020-05-03 17:21,Fleetwood Mac,Hold Me,225333
4787,2020-05-03 17:24,Fleetwood Mac,Hold Me,225333
4788,2020-05-03 17:42,Fleetwood Mac,Hold Me,225333
4789,2020-05-03 19:20,Fleetwood Mac,Hold Me,422560
4790,2020-05-03 19:24,Fleetwood Mac,Hold Me,225333
4791,2020-05-03 19:28,Fleetwood Mac,Hold Me,217023
4792,2020-05-03 19:29,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,10510
4793,2020-05-03 19:29,The Beatles,Eight Days A Week - Remastered 2009,45280
4794,2020-05-03 19:34,The Beatles,Tomorrow Never Knows - Remastered 2009,179546
4795,2020-05-03 19:35,The Beatles,Taxman - Remastered 2009,51073
4796,2020-05-03 19:36,Nancy Sinatra,Sugar Town,29700
4797,2020-05-03 19:36,Christopher Cross,Ride Like the Wind,37580
4798,2020-05-03 19:37,Frank Sinatra,Somethin' Stupid,26000
4799,2020-05-03 19:39,Nancy Sinatra,"You Only Live Twice - From ""Retrospective: The Music Of Mad Men"" Soundtrack",157160
4800,2020-05-03 19:41,The Beach Boys,I Just Wasn't Made For These Times - Remastered,76900
4801,2020-05-03 19:41,The Zombies,This Will Be Our Year,11760
4802,2020-05-03 19:43,RJD2,"A Beautiful Mine - From ""Retrospective: The Music Of Mad Men"" Soundtrack",0
4803,2020-05-03 19:43,The New Seekers,I'd Like To Teach The World To Sing (In Perfect Harmony),142533
4804,2020-05-03 19:46,Nancy Sinatra,These Boots Are Made For Walkin',166008
4805,2020-05-03 19:47,Nancy Sinatra,Bang Bang (My Baby Shot Me Down),77831
4806,2020-05-03 19:51,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4807,2020-05-03 20:02,Fleetwood Mac,Hold Me - 2016 Remaster,225034
